# Outlier report
# name  lon  lat  residual  reason
H074           101.55800   29.84600      11.794  IQR(res=11.79)
H075           100.39000   29.69500      17.689  IQR(res=17.69)
B350           119.36400   35.13200       0.610  KNN
H079           101.52400   30.32600      16.654  IQR(res=16.65)
B352           118.23800   34.82400       0.922  KNN
H080           100.12100   29.17500      16.389  IQR(res=16.39)
H083           101.51800   28.96400      11.227  IQR(res=11.23)
H084           103.89600   28.95700       7.895  KNN
B357           120.39300   33.93800       0.060  KNN
H087           102.76700   28.95500       8.495  KNN
H088           103.97800   28.60500      47.296  KNN+IQR(res=47.30)
B360           120.53000   33.54800       9.400  KNN+IQR(res=9.40)
H090           102.53200   28.67200       8.999  IQR(res=9.00)
H092           102.12600   28.51400      12.109  IQR(res=12.11)
B364           119.78600   32.74400       1.944  KNN
H093           103.64000   28.25000       7.158  KNN
H095           102.23200   27.87400       9.651  IQR(res=9.65)
H096           101.23800   27.65600      16.165  IQR(res=16.17)
H097           100.65300   27.74800      20.142  IQR(res=20.14)
H100           102.78900   27.69300       9.969  IQR(res=9.97)
H101           103.68700   27.35600      11.107  IQR(res=11.11)
H104           101.71000   27.53900       9.607  IQR(res=9.61)
B376           121.89400   30.87600       1.397  KNN
H107           100.06500   27.10900       8.867  IQR(res=8.87)
H116           101.74900   26.50400       9.685  KNN+IQR(res=9.68)
BB02           119.03000   36.68000       5.342  KNN
H117           100.75700   26.66500      13.090  IQR(res=13.09)
H119           103.22700   26.40500       9.527  IQR(res=9.53)
C002           116.75400   38.30600       2.793  KNN
C003           116.07100   38.44500       5.241  KNN
C004           115.29900   38.42100       2.791  KNN
C007           116.09900   38.23400       2.657  KNN
H129           101.90200   25.64200       5.305  KNN
C012           114.89900   37.61800       4.741  KNN
H137           101.26500   25.21300       2.813  KNN
C021           115.62500   37.06200       2.796  KNN
H146           101.63400   24.68800       3.194  KNN
C025           113.37100   37.08600       2.116  KNN
C027           116.22300   36.33900       2.284  KNN
C028           115.41800   36.47700       3.955  KNN
C029           114.96500   36.78200       7.957  KNN
C032           113.64900   36.57900       3.025  KNN
H161           100.72700   23.50700      23.955  KNN+IQR(res=23.96)
C040           113.77500   35.50000       2.728  KNN
C044           115.42200   35.25000       0.464  KNN
C045           115.08500   35.29400       3.311  KNN
C048           112.84500   35.47300       4.040  KNN
H171           103.16500   23.13900       0.000  KNN
H172           103.93300   22.53000       0.000  KNN
H174           101.85700   22.58600       0.000  KNN
H178           100.10900   22.22200      10.137  IQR(res=10.14)
C058           115.79100   32.94200       0.442  KNN
H181           100.67200   21.58800      12.026  KNN+IQR(res=12.03)
H182           100.00600   31.61800      12.342  IQR(res=12.34)
H184            99.66700   30.29400      14.414  IQR(res=14.41)
C062           114.07400   32.09900       1.109  KNN
C301           115.47300   37.79900       2.665  KNN
C302           115.24500   37.91200       2.707  KNN
C304           112.62700   37.70800       1.786  KNN
C305           112.71500   37.63700       4.271  KNN
C306           112.80400   36.36800       2.016  KNN
H205            99.53500   25.46300       7.919  KNN
C319           114.54400   36.75100       2.443  KNN
C320           114.60900   36.16100       0.581  KNN
C321           114.65300   34.25300       1.908  KNN
H213            97.94300   24.71200      17.936  KNN+IQR(res=17.94)
C333           115.95500   37.33300       2.052  KNN
H302           104.60900   34.34800      11.690  IQR(res=11.69)
H303           103.90200   34.23000      15.110  IQR(res=15.11)
H306            97.55700   24.75100      16.488  IQR(res=16.49)
H307            97.79600   24.31200      10.368  IQR(res=10.37)
H308            97.92800   25.15100       9.881  IQR(res=9.88)
H310            98.67100   28.84400      15.803  KNN+IQR(res=15.80)
CB10           117.40700   38.35700       8.343  KNN
H311            98.80700   31.20800      16.223  IQR(res=16.22)
H312            98.84600   24.88400       9.892  IQR(res=9.89)
H316            99.00000   29.71500      12.818  IQR(res=12.82)
D006           110.51300   40.56900       2.410  KNN
D007           109.97700   40.60100       1.611  KNN
H317            99.04800   24.26700      10.030  IQR(res=10.03)
H321            99.57800   31.03800      13.429  IQR(res=13.43)
H323            99.78900   26.01700       8.832  IQR(res=8.83)
D014           111.23200   37.53000       4.203  KNN
D016           113.15400   37.90800       2.830  KNN
H329           100.32300   30.46500      13.512  IQR(res=13.51)
H330           100.34300   28.55900       9.079  IQR(res=9.08)
H332           100.39900   23.44300       0.000  KNN
D022           111.76700   37.16400       1.298  KNN
H336           100.83100   25.40000       8.968  IQR(res=8.97)
H338           101.09000   29.76700       5.591  KNN
D028           110.94400   36.71000       4.756  KNN
H342           101.00000   27.62300       0.000  KNN
D035           110.98200   34.99600       4.396  KNN
D038           110.37700   34.82700       1.568  KNN
H348           101.51200   24.15800       0.000  KNN
D040           109.97400   41.76500       1.897  KNN
D041           108.50700   41.56700       1.510  KNN
H353           102.19100   24.39100       9.610  IQR(res=9.61)
