# tri_id  lon  lat  e_ee  e_en  e_nn  e1  e2  azimuth  dilatation  max_shear  second_invariant  e_ee_std  e_en_std  e_nn_std  e1_std  e2_std  dilatation_std  max_shear_std
   52   105.20700   22.53000         1.781         2.341         0.700         3.643        -1.162     51.50         2.481         2.402         3.824       1.453       2.987       3.654       3.941       1.317       3.914       2.192
   53   108.95800   19.09700        -1.803         1.715         0.518         1.428        -2.713     27.96        -1.285         2.070         3.066       4.333       1.679       1.906       1.691       3.828       4.900       1.660
   54   106.47133   21.24567         2.351         4.236         1.857         6.346        -2.139     46.67         4.207         4.243         6.697       0.956       0.619       0.636       1.163       0.383       1.148       0.648
   56   109.00900   19.95767        -0.448         2.018        -0.233         1.680        -2.361     43.48        -0.681         2.020         2.898       3.785       1.398       1.020       1.765       2.854       3.977       1.295
   58   105.36233   23.55700         2.746         1.564        -2.715         3.162        -3.131     75.10         0.031         3.147         4.450       2.977       1.852       1.252       2.502       1.547       3.232       1.309
   59   114.44300   26.58133        -5.379         1.722         5.845         6.104        -5.638      8.53         0.466         5.871         8.309       4.815       2.926       3.812       4.075       4.404       5.786       3.104
   60   102.43200   42.12467        -0.143        -1.764         2.668         3.518        -0.993    154.27         2.526         2.255         3.655       0.258       0.456       0.939       0.859       0.392       1.013       0.435
   61   106.22867   44.74133        -0.311        -2.241         1.787         3.212        -1.736    147.54         1.477         2.474         3.651       0.119       0.115       0.190       0.185       0.119       0.217       0.112
   62   112.41500   45.03733        -0.062        -1.339         0.484         1.577        -1.155    140.76         0.422         1.366         1.955       0.522       0.439       0.523       0.469       0.490       0.790       0.272
   63   106.71600   28.03367        -1.539        -0.057         0.233         0.235        -1.541    178.16        -1.306         0.888         1.559       2.116       1.740       2.005       1.828       1.930       3.011       1.126
   64   108.45800   28.91667         2.813         0.779         1.180         3.125         0.868     68.18         3.993         1.129         3.244       1.733       1.813       3.523       1.648       3.059       3.786       1.566
   65   109.16900   29.57500         1.869        -0.164        -0.666         1.880        -0.677     93.69         1.203         1.278         1.998       2.235       1.763       3.094       2.135       2.892       3.971       1.587
   66    92.30667   44.57100        -0.864        -4.783        -0.779         3.961        -5.604    135.25        -1.643         4.783         6.863       0.652       0.340       0.422       0.358       0.609       0.749       0.331
   67   101.41300   38.46200        -1.870        -8.475        -7.559         4.226       -13.654    125.72        -9.428         8.940        14.293       4.865       2.052       1.585       2.745       3.501       4.982       1.921
   68    95.90000   42.18200        -2.984        -3.239         0.065         2.120        -5.039    147.60        -2.918         3.580         5.467       1.685       1.033       0.876       0.729       1.749       1.954       0.917
   69    97.13467   38.46500         0.496       -12.795        -9.371         9.276       -18.150    124.46        -8.874        13.713        20.383       0.825       0.844       1.172       0.689       1.529       1.439       0.942
   70    96.50800   40.88733        -2.747        -5.073        -3.740         1.854        -8.341    132.21        -6.487         5.097         8.545       2.163       0.992       0.971       1.163       1.753       2.295       0.947
