# tri_id  lon  lat  e_ee  e_en  e_nn  e1  e2  azimuth  dilatation  max_shear  second_invariant  e_ee_std  e_en_std  e_nn_std  e1_std  e2_std  dilatation_std  max_shear_std
  284    85.59400   31.76767        27.627        -4.535        -8.435        28.188        -8.997     97.06        19.192        18.592        29.589       1.687       2.626       3.938       2.081       3.721       4.429       2.046
  285   101.04067   28.62800         0.466         9.886         6.196        13.623        -6.962     36.92         6.661        10.293        15.299       1.253       1.085       1.090       1.102       1.690       1.678       1.154
  286   102.54400   28.90933       -35.184        25.107        30.279        38.800       -43.704     18.75        -4.904        41.252        58.442       2.843       3.155       3.797       3.921       2.662       4.830       2.323
  287   102.67900   29.11000       -26.241        22.212        18.445        27.607       -35.403     22.42        -7.797        31.505        44.895       4.964       4.271       8.837       9.573       2.937      10.008       5.010
  288   102.98633   29.14100       -14.673        16.154         3.310        12.806       -24.170     30.45       -11.364        18.488        27.352       4.618       3.466       3.478       3.695       4.889       5.784       3.227
  289   114.17967   22.44300         0.895         3.605        -5.669         2.488        -7.263     66.15        -4.774         4.875         7.677      10.161      10.332      13.774       7.658      13.499      17.285       6.763
  290   112.71300   22.94100        -2.507         0.689        -5.634        -2.362        -5.779     78.12        -8.142         1.709         6.243       3.572       3.025       3.168       3.130       3.086       4.733       2.015
  291   112.95133   23.63700         0.405         1.498        -0.399         1.554        -1.548     52.50         0.006         1.551         2.194       3.244       4.587       5.217       4.556       3.527       6.028       2.741
  292   113.19867   23.27167         0.032        -1.504        -6.196         0.376        -6.540    102.89        -6.164         3.458         6.551       4.868       2.466       3.605       4.369       3.429       6.484       2.217
  293   111.83233   22.26667         0.981         0.643        -0.651         1.204        -0.875     70.87         0.329         1.039         1.488       4.002       2.661       2.943       3.261       3.107       5.037       1.950
  294   113.13733   22.42233         1.923        -1.105         2.205         3.178         0.950    138.63         4.128         1.114         3.317       4.557       3.294       4.971       3.945       4.510       7.173       2.255
  295   112.70800   22.58167        -7.083         1.503         0.329         0.622        -7.376     11.04        -6.754         3.999         7.402       3.593       2.973       4.414       4.079       4.197       5.492       3.096
  296   112.93833   22.03133        -4.461        -3.887        -0.202         2.100        -6.763    149.36        -4.663         4.432         7.082       5.132       2.735       2.160       4.700       2.678       5.563       2.625
  297   109.51667   20.54767         2.898         2.246        -0.443         4.027        -1.572     63.32         2.455         2.799         4.323       2.863       1.344       1.150       2.667       1.333       3.108       1.425
  298   109.83900   21.15800         3.880         1.666        -1.597         4.348        -2.064     74.34         2.284         3.206         4.813       2.529       2.271       4.202       2.348       3.742       4.699       2.058
  299   121.08700   37.17100        -2.259        -1.993         2.119         2.890        -3.031    158.84        -0.140         2.960         4.188       8.622       2.986       2.443       3.245       7.140       8.920       3.295
  300   121.93200   29.61867        -3.432        -4.924         1.249         4.361        -6.544    147.71        -2.183         5.452         7.864       4.767       3.866       3.517       4.928       4.414       5.882       3.638
  301   122.00667   29.99833        -6.098        -2.369        -4.366        -2.710        -7.755    145.04       -10.464         2.523         8.214       7.212       5.605       8.020       8.819       4.616      10.570       4.648
  302   122.28567   30.33533        -4.414         0.238        -3.897        -3.804        -4.507     21.34        -8.311         0.351         5.898      15.029       9.420       4.047       9.314      10.642      15.943       6.039
  306   121.07033   28.44700         0.307         4.608        -0.759         4.413        -4.865     48.30        -0.452         4.639         6.568       6.661       3.801       3.622       6.023       4.166       6.999       3.817
  308   121.47233   29.53500         7.189        21.131         1.543        25.684       -16.952     48.80         8.732        21.318        30.775      17.976       9.585       8.203      14.545      13.126      20.570       9.282
  309   105.94800   24.04200         1.147         0.988        -1.054         1.525        -1.432     69.04         0.093         1.478         2.092       2.928       1.744       2.039       2.460       2.018       3.585       1.360
  310   105.92433   24.58333        -0.114         0.541         1.484         1.650        -0.280     17.04         1.370         0.965         1.674       2.898       2.817       3.504       3.023       2.771       4.620       1.752
  311   106.60267   22.77833         0.860         1.861         0.761         2.672        -1.051     45.76         1.621         1.861         2.871       2.462       1.283       1.552       2.130       1.454       2.802       1.167
  312   106.51933   23.54467        -1.314         1.733        -0.980         0.594        -2.889     42.25        -2.294         1.742         2.949       1.985       1.318       2.392       2.131       1.960       3.372       1.161
  313   107.04100   23.82133        -5.252         1.378        -0.540        -0.167        -5.626     15.17        -5.793         2.730         5.628       4.201       2.311       1.263       1.429       3.864       4.267       1.984
  314   110.71733   23.87867         0.566         2.182        -3.568         1.504        -4.507     66.73        -3.002         3.005         4.751       2.885       1.725       1.313       2.590       1.768       3.139       1.567
  315   108.08233   24.58667        -0.602         1.601        -1.383         0.656        -2.640     51.85        -1.985         1.648         2.721       3.981       1.902       1.469       2.389       3.014       4.318       1.653
  316   108.28400   25.70867        -0.563        -0.471        -0.263         0.081        -0.907    143.85        -0.826         0.494         0.911       2.159       2.133       2.022       2.109       1.864       2.772       1.429
  317   103.97933   23.90033         2.607         8.709         5.810        13.064        -4.647     39.79         8.417         8.855        13.866       4.123       2.889       8.612       5.925       5.131       9.475       2.877
  318   104.64800   23.98233         1.467         5.611         3.541         8.210        -3.202     39.76         5.008         5.706         8.812       3.009       2.648       8.610       6.294       4.612       8.989       3.201
  319   103.69867   23.64233        -2.244         5.826         8.607        11.143        -4.780     23.52         6.363         7.962        12.125       5.306       5.524       3.647       5.923       5.506       6.370       4.749
  320   103.79000   23.26700        -0.527        -1.339        -8.445        -0.307        -8.666     99.34        -8.972         4.179         8.671       5.280       5.504       6.187       5.017       6.479       8.452       3.964
  321   107.12367   39.56133        -1.611         3.987        -4.385         1.223        -7.219     54.59        -5.996         4.221         7.322       3.876       2.268       2.446       4.473       1.382       4.661       2.351
  322   113.16100   26.33400        -0.222        -6.838        -1.943         5.809        -7.975    131.41        -2.165         6.892         9.866       4.972       3.639       8.378       3.160       8.177       9.751       3.828
  323   113.68033   25.38167        -1.040         0.045        -1.064        -1.006        -1.098     52.53        -2.105         0.046         1.490       5.376       3.134       2.293       3.528       3.396       5.563       2.062
  324   113.12867   25.15467         2.445         3.331         1.221         5.220        -1.553     50.20         3.667         3.387         5.446      16.791       7.619       7.725      13.744       8.127      18.640       6.373
  325   111.68733   25.94433         4.866         0.915         3.613         5.348         3.131     62.19         8.479         1.109         6.197      11.876       7.996       8.286       8.558       9.318      14.457       5.271
  326   112.34933   25.97033         0.816        -0.524         2.574         2.719         0.672    164.60         3.391         1.023         2.801       8.182      10.345      11.798      11.296       7.501      14.618       6.206
  327   112.44533   26.47533        -5.666       -11.068        -3.833         6.357       -15.855    137.37        -9.498        11.106        17.082       3.709       3.542       6.409       4.786       5.409       7.420       3.509
  328   113.49400   27.73367         2.743         4.068        -0.873         5.387        -3.516     56.98         1.870         4.452         6.433       8.820       3.895       4.345       4.556       7.408       9.685       3.791
  329   114.28933   28.27733        -2.367         0.264        -9.611        -2.357        -9.620     87.92       -11.978         3.632         9.905       3.137       6.980      10.091       4.679       8.547      10.092       4.692
  330   119.37633   25.45267        -5.767        -7.468         2.310         6.762       -10.219    149.20        -3.457         8.491        12.254       8.489       5.761       7.948       6.840       9.502      11.524       5.945
  331   117.76167   27.05333        -2.435         0.466        -1.511        -1.317        -2.629     22.64        -3.946         0.656         2.940       2.266       2.661       3.754       2.160       3.334       4.502       1.681
  332   116.96700   26.74800         0.528        -0.000         0.735         0.735         0.528    179.95         1.263         0.104         0.905       2.204       2.023       2.754       2.721       1.953       3.687       1.487
  333   118.22600   38.43867         7.699        10.775        -6.312        13.546       -12.159     61.51         1.387        12.852        18.203       8.909       1.587       1.107       6.759       2.782       8.935       2.599
  334   111.75067   31.52133        -2.455        -0.307        -3.053        -2.326        -3.182    112.89        -5.508         0.428         3.942       1.024       1.048       1.373       1.179       1.094       1.595       0.810
  335   112.67633   31.11067        -0.582        -2.523        -3.993         0.758        -5.333    117.97        -4.576         3.046         5.387       1.234       1.154       2.091       1.575       1.740       2.415       1.139
  336   102.44200   38.08700        -0.580       -14.754       -16.856         8.132       -25.567    120.56       -17.435        16.849        26.829       4.019       4.379       6.102       5.552       5.841       7.495       4.292
  337   102.10733   38.13233        -5.112       -17.751       -22.388         5.991       -33.491    122.03       -27.500        19.741        34.023       7.430       5.804       7.160       2.752       9.809      10.367       5.003
  338   101.69133   37.85633        -6.982       -23.825        -6.862        16.903       -30.747    135.07       -13.843        23.825        35.087       2.103       1.549       1.197       2.081       1.799       2.367       1.544
  339   101.80467   38.13833        -5.196       -16.748       -14.111         7.678       -26.984    127.55       -19.307        17.331        28.055       3.312       3.463       4.573       2.374       5.075       5.374       2.911
  340   102.07633   29.47000       -28.810        27.864        25.053        36.874       -40.631     22.99        -3.757        38.752        54.868       2.529       2.011       2.060       2.322       2.654       3.287       1.875
  341   102.46133   29.47467       -16.353        17.790        19.093        26.482       -23.742     22.55         2.740        25.112        35.566       9.447       6.062       2.121       3.595       9.560       9.692       5.355
  342   111.90033   29.93500        -1.518        -1.124        -4.439        -1.136        -4.821    108.79        -5.957         1.843         4.953       2.177       1.971       2.425       1.772       2.904       3.198       1.797
  343   110.77933   29.10100        -4.280         4.124        -5.251        -0.613        -8.918     48.36        -9.531         4.153         8.939       4.628       3.987       5.166       3.053       6.110       6.748       3.456
  344   110.75700   31.29533        -1.697        -0.858        -2.370        -1.112        -2.955    124.29        -4.067         0.921         3.157       2.781       2.100       2.252       2.233       2.358       3.572       1.443
  345   108.43100   30.00700         3.082        -0.046         1.512         3.084         1.511     91.68         4.595         0.786         3.434       1.699       2.105       4.414       2.744       2.862       4.604       1.600
  346   110.97067   27.91367         0.395         0.009         4.750         4.750         0.395      0.11         5.145         2.177         4.766       6.602       3.601       3.669       3.935       5.028       7.558       2.470
  347   111.83833   26.86367        -5.521       -10.537        -2.478         6.646       -14.646    139.11        -7.999        10.646        16.083       3.288       3.529       7.798       5.440       5.559       8.530       3.472
  348   111.31867   26.53867         6.404        -2.939         1.528         7.784         0.147    115.16         7.932         3.818         7.786       7.907       5.542       5.653       7.262       5.189       9.738       4.016
  349    99.15067   27.89667         6.948        -1.031         9.337         9.720         6.564    159.60        16.285         1.578        11.729       3.925       3.178       4.782       5.164       2.094       6.132       2.476
  350    98.85767   27.42633         9.352        -0.579         4.490         9.420         4.422     96.70        13.842         2.499        10.407       6.649       3.056       1.848       6.314       2.142       7.050       3.130
  351    90.59100   28.10700         7.614        -7.961        -7.339        11.059       -10.783    113.40         0.276        10.921        15.446       2.356       3.973       7.647       4.830       6.185       8.073       3.808
  354    99.03733   28.44100         0.431         2.061        13.601        13.915         0.116      8.69        14.031         6.900        13.916       1.741       1.090       1.254       1.230       1.671       2.068       1.041
  355   100.51167   29.21567        -8.613         8.728        15.999        18.780       -11.394     17.67         7.385        15.087        21.966       1.206       0.848       1.383       1.215       1.340       1.846       0.885
  356    99.57400   29.18567        -8.379         3.786        19.541        20.046        -8.883      7.59        11.162        14.464        21.926       1.509       0.862       1.301       1.282       1.521       2.102       0.935
  357    99.50067   29.84033        -8.428         4.250        19.683        20.312        -9.057      8.41        11.255        14.684        22.239       1.853       1.603       2.823       2.502       2.123       3.325       1.619
  358   100.64533   31.19067       -28.550         0.607        58.288        58.293       -28.554      0.40        29.738        43.423        64.910       1.889       1.379       1.975       1.993       1.861       2.860       1.293
  359   100.10067   30.85000       -12.529         3.305        35.481        35.708       -12.755      3.92        22.952        24.231        37.917       1.205       0.969       1.138       1.151       1.204       1.643       0.844
  360   100.29333   30.28300        -7.344         9.440        19.902        22.853       -10.295     17.36        12.558        16.574        25.064       1.327       2.061       4.026       3.219       2.506       4.301       1.923
  361   101.21333   30.83000       -39.894        18.155        59.028        62.255       -43.121     10.08        19.134        52.688        75.730      36.411      64.792      20.824      48.574      44.243      41.146      41.656
  362   101.32200   30.55967       -47.312        62.040       -11.287        35.302       -93.901     36.91       -58.599        64.602       100.318      25.456      69.506     371.037     196.709     229.270     373.034     104.120
  363   101.35400   30.13367       -33.575        42.167         3.643        31.124       -61.057     33.09       -29.933        46.091        68.532       5.961       2.258       0.994       2.658       4.605       6.002       2.265
  364   100.94767   29.96633       -10.884        17.405        13.476        22.540       -19.948     27.51         2.592        21.244        30.099       1.966       1.302       1.508       1.989       1.531       2.287       1.357
  365   101.67900   38.55333         0.802        -4.208         1.765         5.519        -2.952    138.26         2.566         4.236         6.259       4.628       2.778       3.145       3.381       3.431       5.447       2.046
  366   102.21900   38.73467        -1.277        -6.678        -4.832         3.856        -9.966    127.55        -6.109         6.911        10.686       1.148       1.942       2.233       1.797       2.337       2.386       1.709
  367   102.38667   38.24433         0.453        -3.310         5.277         6.961        -1.231    153.04         5.730         4.096         7.069       3.630       3.956       3.961       3.900       3.576       5.720       2.412
  368   104.61500   39.07900         3.464        -4.897        -4.498         5.794        -6.828    115.44        -1.034         6.311         8.955       1.063       0.670       1.100       1.065       0.946       1.483       0.681
  369    93.26633   43.55167        -1.521        -4.121         1.692         4.508        -4.338    145.65         0.170         4.423         6.257       0.695       0.864       2.212       1.658       1.282       2.300       0.935
  371    99.00067   37.56333        -4.177       -13.318       -12.902         5.475       -22.554    125.93       -17.079        14.014        23.209       3.508       1.511       1.329       1.735       2.846       3.684       1.470
  372    98.83100   37.33933         2.210       -12.764       -15.787         8.828       -22.405    117.41       -13.577        15.617        24.082       2.582       2.413       3.186       2.054       3.558       4.113       2.052
  374   101.10767   38.47767         0.261        -7.659        -7.779         4.891       -12.409    121.15        -7.518         8.650        13.338       3.508       1.718       1.363       2.946       1.991       3.772       1.662
  375    97.36933   39.92800        -2.513        -7.323        -1.080         5.562        -9.154    137.79        -3.593         7.358        10.712       2.272       4.546      10.754       7.892       5.436      11.024       3.942
  377    97.84067   39.24533        -2.759       -13.756        -6.702         9.165       -18.627    130.92        -9.462        13.896        20.760       2.099       1.054       0.741       0.891       1.957       2.266       1.014
  378    97.92900   39.98867         6.007         1.633         2.424         6.640         1.791     68.83         8.431         2.424         6.877       9.125       5.291       4.642      10.263       3.063      10.532       5.443
  379    97.67967   40.05067        -0.197        -3.572         1.153         4.113        -3.157    140.35         0.955         3.635         5.185       4.551       3.579       3.952       3.013       5.467       6.091       3.196
  380    99.54767   39.77667         1.195        -2.225        -5.723         1.849        -6.377    106.37        -4.528         4.113         6.639       2.879       5.250       8.035       5.889       6.817       8.388       4.794
  381    99.85500   39.61133         0.762        -3.319        -6.712         2.023        -7.973    110.80        -5.950         4.998         8.226       2.870       1.845       2.040       2.938       2.027       3.779       1.673
  382    98.89767   39.63067        -5.848       -10.838        -6.993         4.433       -17.274    133.49       -12.841        10.853        17.833       2.581       1.741       2.300       0.999       3.250       3.342       1.729
  384    99.36833   39.58367        -9.487        -9.694        -6.388         1.880       -17.754    139.54       -15.874         9.817        17.853       3.231       1.567       1.576       1.280       3.098       3.498       1.600
  385    99.67567   39.41833       -17.830       -10.549        -6.919        -0.498       -24.251    148.67       -24.749        11.876        24.256       5.020       2.352       1.652       2.238       4.589       5.399       2.398
  386   100.41767   39.52233         7.471        -2.502        -6.201         7.915        -6.645    100.05         1.270         7.280        10.334       2.521       1.379       1.595       2.450       1.592       3.074       1.381
  387   100.09333   39.45667         8.664        -4.190        -8.209         9.647        -9.192    103.21         0.455         9.420        13.325       2.428       1.435       1.574       2.379       1.578       2.837       1.436
  388    96.42900   34.52500        -0.422       -21.360         8.396        25.798       -17.823    140.83         7.974        21.810        31.356       1.280       0.741       0.685       0.764       1.204       1.494       0.677
  389    96.68233   33.85333       -14.216       -22.962         8.672        22.884       -28.428    148.25        -5.544        25.656        36.494       1.226       3.828      11.176       7.070       6.556      11.246       3.855
  390    97.85900   32.72367       -19.887        -6.520        23.954        24.903       -20.836    171.72         4.067        22.869        32.470       1.626       2.042       1.801       1.682       1.790       2.505       1.203
  391    97.37733   33.16900       -21.914       -15.287        32.475        36.477       -25.916    165.33        10.561        31.197        44.747       1.747       1.795       4.909       4.558       1.920       5.275       2.296
  392    97.66700   33.59567       -12.343       -20.605        16.911        27.553       -22.985    152.68         4.568        25.269        35.881       4.243       3.889       4.385       1.573       6.012       6.297       3.065
  393    98.87467   32.71633        -6.735        -7.478        23.048        24.820        -8.507    166.67        16.313        16.663        26.237       4.791       1.741       1.492       1.476       4.867       4.996       2.587
  394    99.23033   33.19233       -11.206       -11.659        16.688        20.919       -15.437    160.05         5.482        18.178        25.999       2.866       2.484       1.641       2.936       1.207       3.401       1.465
  395    95.67200   35.09767       -12.373       -25.735         5.443        23.768       -30.698    144.55        -6.931        27.233        38.824       1.948       0.825       1.082       1.285       1.488       2.071       0.928
  396    94.96700   36.03233        14.110       -42.257       -12.226        45.203       -43.319    126.35         1.884        44.261        62.608       6.977       2.005       1.549       5.982       1.954       6.951       2.778
  397    95.50667   35.96667         4.918       -26.090        -8.735        25.060       -28.877    127.67        -3.817        26.968        38.234       2.203       1.737       2.242       1.090       3.206       3.356       1.708
  398    93.37633   34.24767       -22.888       -20.975       -13.248         3.453       -39.590    141.47       -36.136        21.521        39.740       5.083       3.066       3.131       2.468       5.867       5.898       3.400
  400    94.90033   35.09133       -37.831       -38.963         7.120        29.626       -60.337    149.99       -30.711        44.981        67.218       3.127       0.957       1.048       1.059       2.898       3.369       1.386
  402    93.62533   36.62200       -82.527        -3.357        -4.871        -4.726       -82.672    177.53       -87.398        38.973        82.807       4.219       1.271       0.338       0.372       4.231       4.236       2.129
  403    94.42067   35.83533        -2.415      -113.997       -10.517       107.603      -120.535    133.98       -12.932       114.069       161.577       6.921      13.156      17.397      19.748      12.204      19.528      13.195
  404    94.70967   35.79067       -16.027       -82.727        -4.781        72.514       -93.322    136.94       -20.808        82.918       118.183       3.240       4.908       4.511       5.150       5.947       5.224       4.912
  405    92.79700   33.30433         6.291       -11.293         4.035        16.512        -6.187    132.15        10.325        11.349        17.633       1.421       5.024       3.932       5.503       4.236       4.175       4.445
  406    93.09067   32.74300         6.863       -13.135         2.027        17.800        -8.911    129.78         8.890        13.355        19.906       1.165       1.483       1.918       1.518       2.141       2.251       1.476
  408    90.25733   30.01633        29.076       -21.499       -22.307        36.885       -30.115    109.96         6.769        33.500        47.617       9.136       3.843       1.928       8.148       3.031       9.309       4.015
  409    89.26367   31.02467        11.480        -2.624        -5.579        11.874        -5.973     98.55         5.901         8.924        13.292       6.999       4.608       5.828       3.733       7.285       9.036       3.618
  410    89.13400   30.75833        19.810         4.434        -2.657        20.653        -3.501     79.23        17.153        12.077        20.948       5.216       4.029       4.353       6.973       3.700       6.630       4.491
  412    90.58100   30.40067        26.638        -7.655       -25.816        27.733       -26.910     98.14         0.822        27.321        38.643       3.941       6.876       8.586       3.676       8.636       9.871       4.437
  413    98.94100   29.73300        -1.047        -1.515        22.484        22.581        -1.144    176.33        21.437        11.863        22.610       3.809       2.895       4.057       4.587       3.326       5.647       2.842
  414    97.08867   29.80167        -2.138         2.433        13.115        13.494        -2.516      8.85        10.977         8.005        13.726       4.094       4.366       8.817       5.880       5.709       9.870       3.038
  415    94.48333   30.72233         4.252        -7.087         3.314        10.885        -3.319    133.11         7.566         7.102        11.380       2.022       0.814       0.836       0.980       1.748       2.198       0.895
  416    93.98167   31.38167        11.296        -9.750         2.681        17.647        -3.670    123.08        13.977        10.659        18.025       3.350       2.321       1.857       4.128       1.791       3.856       2.532
  417    94.66133   32.13167        12.484       -10.563         7.849        20.981        -0.648    128.81        20.333        10.814        20.991       4.465       1.668       1.527       3.788       1.496       4.631       1.712
  418    95.43133   31.99100         1.328        -7.934        11.604        15.918        -2.986    151.46        12.933         9.452        16.196       0.932       0.555       1.151       1.011       0.914       1.445       0.638
  419    96.43867   30.93433        -2.013         0.660        15.203        15.229        -2.038      2.19        13.191         8.633        15.364       2.335       1.111       1.193       1.172       2.344       2.634       1.304
  420    96.59833   30.45433        -3.140         0.372        16.195        16.202        -3.147      1.10        13.055         9.675        16.505       2.721       2.588       9.913       9.806       2.583      10.465       4.903
  421    95.34833   30.75933         3.537        -3.711         5.404         8.297         0.644    142.06         8.941         3.827         8.322       3.460       1.364       1.349       0.817       3.433       3.620       1.718
  422    95.61667   31.27800        -0.931        -3.020        12.066        12.733        -1.599    167.54        11.135         7.166        12.833       1.121       1.366       1.321       1.319       1.272       1.686       0.984
  423    97.20100   30.84133        16.922        18.234        10.964        32.419        -4.533     49.64        27.886        18.476        32.734      14.570       4.159       2.260      10.028       7.021      14.832       4.465
  424    96.89067   31.07033         4.136         7.620        15.347        19.201         0.282     26.83        19.483         9.460        19.203       3.300       1.802       1.508       1.675       3.124       3.557       1.766
  425    97.42933   31.11367         9.123         8.755         3.543        15.521        -2.856     53.84        12.665         9.189        15.782       3.686       3.356       3.642       2.861       4.165       5.315       2.388
  426    97.11900   31.34267         1.817         5.879        14.471        16.781        -0.493     21.45        16.288         8.637        16.788       1.575       2.564       3.857       3.953       1.442       4.164       2.126
  427    87.73867   31.31133        20.213         5.824        -2.434        21.623        -3.844     76.39        17.779        12.733        21.962       3.700       3.287       5.033       4.226       4.764       6.186       3.273
  428    87.93833   31.54067        19.415         4.587        -1.982        20.357        -2.924     78.40        17.433        11.640        20.566       2.873       2.323       3.250       3.508       2.254       4.358       1.986
  429    86.98800   31.57733        17.798         2.183        -0.474        18.056        -0.731     83.28        17.324         9.393        18.070       4.791       3.730       3.532       4.711       3.606       5.920       2.973
  430    87.18767   31.80667        19.738         2.491         0.562        20.056         0.244     82.72        20.300         9.906        20.058       1.626       2.799       6.597       3.608       5.157       6.811       2.865
  449    82.27667   42.31000        -3.333         2.154        -6.727        -2.288        -7.772     64.11       -10.060         2.742         8.102       1.071       0.765       1.065       1.053       1.110       1.529       0.765
  450    82.15000   41.94300         0.350         4.367       -10.667         1.871       -12.188     70.80       -10.317         7.030        12.331       1.546       2.263       4.163       4.078       1.301       4.332       2.114
  451    86.55167   43.40000        -3.777        -4.262        -9.392        -1.481       -11.688    118.31       -13.169         5.103        11.781       1.626       0.715       0.573       1.173       0.958       1.630       0.694
  452    85.62533   42.16267         6.212         1.671       -11.546         6.368       -11.702     84.67        -5.334         9.035        13.322       0.971       1.736       3.729       1.037       3.623       3.744       1.896
  453    83.76100   37.37100         8.126        -6.307       -21.543         9.411       -22.828    101.52       -13.418        16.120        24.692       4.191       1.878       3.880       3.952       3.772       5.565       2.681
  454    84.31700   36.44100        10.464       -19.986       -15.091        21.408       -26.034    118.70        -4.626        23.721        33.706       4.453       1.568       0.757       3.341       2.000       4.426       1.638
  455    82.48667   36.20067         6.614       -16.757       -22.845        14.195       -30.426    114.34       -16.231        22.310        33.574       2.199       1.439       1.227       1.639       2.142       2.421       1.474
  456    85.42333   37.59533        18.602       -17.412       -15.859        25.867       -23.125    112.65         2.743        24.496        34.697       1.663       1.075       2.443       1.681       2.069       3.041       1.114
  458    86.24100   38.05367        12.798       -17.269       -18.929        20.383       -26.514    113.71        -6.131        23.449        33.444       0.931       1.205       2.492       1.686       1.875       2.648       1.194
  462    85.49400   47.39533        -2.338        -0.699        -8.740        -2.262        -8.816     96.16       -11.078         3.277         9.101       4.473       2.620       2.002       3.535       2.526       4.737       1.956
  463    83.13200   45.11367         6.765         0.328       -19.450         6.769       -19.454     89.28       -12.685        13.112        20.598       1.553       1.118       1.292       1.255       1.441       2.061       0.874
  464    83.81167   45.75167         4.397        -2.025       -10.105         4.675       -10.383     97.80        -5.708         7.529        11.387       1.654       2.492       5.224       3.175       4.306       5.419       2.640
  466    84.20867   44.78033         8.061        -0.711       -10.085         8.089       -10.113     92.24        -2.024         9.101        12.950       1.141       0.640       0.722       1.152       0.702       1.370       0.664
  467    83.56233   44.87067         9.954        -3.229        -9.070        10.487        -9.603     99.38         0.883        10.045        14.220       1.002       0.691       0.836       1.008       0.803       1.278       0.650
  469   114.91200   42.63867        -4.934         2.638        -0.508         0.722        -6.165     25.01        -5.442         3.444         6.207       2.246       1.741       2.304       1.867       2.877       3.211       1.817
  470   122.55067   37.92700       -24.776         0.096         2.404         2.405       -24.776      0.20       -22.371        13.590        24.893       8.682       2.904       1.258       1.757       8.374       8.776       4.165
  471   117.88400   39.24500        -5.223       -11.374         4.262        11.842       -12.803    146.32        -0.961        12.323        17.440       4.012       6.085      13.724       6.509      11.710      14.555       6.065
  472   117.47700   39.06900       -22.465         1.394        21.305        21.349       -22.510      1.82        -1.160        21.929        31.024      14.612      12.519      24.670      20.952      15.531      28.058      11.970
  473   117.47667   39.18200       -41.491        -1.283         1.860         1.898       -41.529    178.31       -39.631        21.714        41.572      14.243      11.520      17.205      14.043      16.246      23.146       9.831
  474   127.98333   44.92000         2.885       -10.471        -1.986        11.200       -10.301    128.45         0.899        10.751        15.217       3.901       2.925       4.176       5.538       2.405       6.183       2.945
  475   120.84300   47.69400         3.901        -0.327         0.559         3.933         0.528     95.54         4.460         1.703         3.968       1.049       1.140       1.042       1.135       1.161       1.444       0.893
  476   118.70800   47.24000         0.899        -1.204        -0.271         1.653        -1.025    122.03         0.628         1.339         1.944       2.095       1.225       0.789       1.331       1.817       2.287       1.108
  477   119.51500   47.86067         3.949         1.833        -0.012         4.667        -0.731     68.60         3.937         2.699         4.724       1.403       1.052       1.036       1.305       1.231       1.850       0.868
  478   126.18667   42.38100        18.476        -0.066        -2.644        18.476        -2.644     90.18        15.832        10.560        18.665       2.792       1.282       1.883       2.708       1.930       3.279       1.685
  479   127.00233   41.52067        16.218        -2.416        -3.486        16.510        -3.777     96.89        12.732        10.144        16.936       2.185       1.472       1.829       2.414       1.653       2.831       1.509
  480   127.26667   42.18600        17.137        -0.407        -3.407        17.145        -3.416     91.13        13.730        10.280        17.482       3.545       2.539       3.232       3.798       2.982       5.134       2.251
  481   125.03000   40.95000        24.103        -1.368        -2.240        24.174        -2.311     92.97        21.863        13.243        24.284       3.111       2.311       2.472       2.261       3.155       3.962       1.899
  482   125.99700   41.47867        18.014        -4.048        -3.580        18.748        -4.314    100.28        14.434        11.531        19.238       3.402       1.899       1.972       3.609       1.692       3.917       2.026
  483   125.65533   41.83900        23.363        -9.006        -3.972        26.063        -6.673    106.69        19.390        16.368        26.904       3.452       2.376       2.592       4.289       2.361       4.358       2.690
  484   124.67767   41.78667        15.057        -5.707        -1.248        16.856        -3.047    107.50        13.809         9.952        17.129       5.586       3.590       3.191       3.536       4.874       6.434       2.789
  485    89.78800   46.19267         2.813        -7.556        -5.169         7.367        -9.722    121.08        -2.355         8.545        12.198       1.950       1.438       2.719       1.665       2.585       3.371       1.374
  486    89.98967   46.69767        -1.519       -18.104        -7.732        13.743       -22.994    130.13        -9.251        18.369        26.788       2.596       1.937       2.770       3.316       2.049       3.825       1.985
  487    89.49100   46.83233        -1.950       -10.900        -4.349         7.816       -14.115    131.86        -6.299        10.965        16.135       2.502       1.374       1.895       1.508       2.549       3.165       1.372
  488    89.35233   46.53533         1.474        -5.513        -3.860         4.931        -7.317    122.09        -2.386         6.124         8.824       2.840       2.105       1.422       2.587       2.217       3.221       1.791
  489    88.92200   45.71667        -1.175        -0.107        -0.621        -0.601        -1.195    169.42        -1.796         0.297         1.338       0.671       1.446       2.087       1.928       1.220       2.210       1.176
  490    90.37467   46.04933         9.664       -14.677       -10.296        17.433       -18.065    117.89        -0.632        17.749        25.104       2.154       5.274       6.410       5.415       6.286       6.486       4.889
  491    89.93867   46.02133         0.995       -12.778        -7.446        10.231       -16.682    125.86        -6.451        13.457        19.570       3.259       4.841       5.799       3.603       7.258       6.791       4.615
  492    89.69733   45.79933         1.750        -4.489        -0.799         5.142        -4.191    127.08         0.951         4.666         6.634       3.047       1.666       1.937       2.558       2.051       3.560       1.486
  493    89.04900   47.32900        -3.590        -5.977       -11.944        -0.475       -15.059    117.53       -15.534         7.292        15.066       1.984       1.731       3.171       1.979       2.854       3.767       1.576
  494    88.58567   47.82500        -7.800        -9.150       -12.812        -0.819       -19.793    127.34       -20.612         9.487        19.810       3.162       2.561       3.322       1.289       4.756       4.640       2.599
